S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
3546,02/05/2021,Chhattisgarh,744602,121099,614693,8810
3547,03/05/2021,Chhattisgarh,756427,120367,627051,9009
3548,04/05/2021,Chhattisgarh,771701,120977,641449,9275
3549,05/05/2021,Chhattisgarh,787486,124459,653542,9485
3550,06/05/2021,Chhattisgarh,802643,129211,663694,9738
3551,07/05/2021,Chhattisgarh,816489,131245,675294,9950
3552,08/05/2021,Chhattisgarh,830117,131041,688918,10158
3553,09/05/2021,Chhattisgarh,842356,130859,701116,10381
3554,10/05/2021,Chhattisgarh,851476,126547,714359,10570
3555,11/05/2021,Chhattisgarh,863343,125104,727497,10742
3556,12/05/2021,Chhattisgarh,873060,121836,740283,10941
3557,13/05/2021,Chhattisgarh,883210,122798,749318,11094
3558,14/05/2021,Chhattisgarh,883210,122798,749318,11094
3559,15/05/2021,Chhattisgarh,892331,119450,761592,11289
3560,16/05/2021,Chhattisgarh,907589,110401,785598,11590
3561,17/05/2021,Chhattisgarh,912477,103593,797150,11734
3562,18/05/2021,Chhattisgarh,919054,96156,811015,11883
3563,19/05/2021,Chhattisgarh,925531,90382,823113,12036
3564,20/05/2021,Chhattisgarh,931211,85868,833161,12182
3565,21/05/2021,Chhattisgarh,936423,81466,842662,12295
3566,22/05/2021,Chhattisgarh,941366,76446,852529,12391
3567,23/05/2021,Chhattisgarh,945694,70540,862660,12494
3568,24/05/2021,Chhattisgarh,949000,65774,870640,12586
3569,25/05/2021,Chhattisgarh,953209,60938,879625,12646
3570,26/05/2021,Chhattisgarh,956715,56474,887518,12723
3571,27/05/2021,Chhattisgarh,959544,53480,893285,12779
3572,28/05/2021,Chhattisgarh,962368,49420,900100,12848
3573,30/05/2021,Chhattisgarh,967645,42914,911752,12979
3574,31/05/2021,Chhattisgarh,969300,39261,917023,13016
3575,01/06/2021,Chhattisgarh,971463,35741,922674,13048
3576,02/06/2021,Chhattisgarh,973349,33127,927145,13077
3577,03/06/2021,Chhattisgarh,975141,31635,930389,13117
3578,04/06/2021,Chhattisgarh,976760,29378,934243,13139
3579,05/06/2021,Chhattisgarh,978220,26977,938081,13162
3580,06/06/2021,Chhattisgarh,979576,24895,941489,13192
3581,07/06/2021,Chhattisgarh,980575,23280,944078,13217
3582,08/06/2021,Chhattisgarh,981860,21090,947527,13243
3583,09/06/2021,Chhattisgarh,982962,19471,950234,13257
3584,10/06/2021,Chhattisgarh,983916,18113,952532,13271
3585,11/06/2021,Chhattisgarh,984950,17275,954390,13285
3586,12/06/2021,Chhattisgarh,985691,15932,956459,13300
3587,13/06/2021,Chhattisgarh,986504,15082,958111,13311
3588,14/06/2021,Chhattisgarh,986963,13677,959969,13317
3589,15/06/2021,Chhattisgarh,987563,12660,961569,13334
3590,16/06/2021,Chhattisgarh,988172,11717,963113,13342
3591,17/06/2021,Chhattisgarh,988745,11126,964265,13354
3592,18/06/2021,Chhattisgarh,989335,10682,965292,13361
3593,19/06/2021,Chhattisgarh,989844,10062,966414,13368
3594,20/06/2021,Chhattisgarh,990323,9531,967415,13377
3595,21/06/2021,Chhattisgarh,990675,9192,968096,13387
3596,22/06/2021,Chhattisgarh,991171,8564,969212,13395
3597,23/06/2021,Chhattisgarh,991653,8007,970244,13402
3598,09/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3599,10/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3600,11/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3601,12/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3602,13/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3603,14/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3604,15/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3605,16/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3606,17/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3607,18/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3608,19/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3609,20/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3610,21/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3611,22/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3612,23/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
3613,24/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
3614,25/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
3615,26/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
3616,27/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
3617,28/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
3618,29/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
3619,30/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
3620,31/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
3621,01/06/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
3622,02/06/2020,Dadra and Nagar Haveli and Daman and Diu,3,2,1,0
3623,03/06/2020,Dadra and Nagar Haveli and Daman and Diu,4,3,1,0
3624,04/06/2020,Dadra and Nagar Haveli and Daman and Diu,8,7,1,0
3625,05/06/2020,Dadra and Nagar Haveli and Daman and Diu,12,11,1,0
3626,06/06/2020,Dadra and Nagar Haveli and Daman and Diu,14,13,1,0
3627,07/06/2020,Dadra and Nagar Haveli and Daman and Diu,19,18,1,0
3628,08/06/2020,Dadra and Nagar Haveli and Daman and Diu,20,18,2,0
3629,09/06/2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2,0
3630,10/06/2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2,0
3631,11/06/2020,Dadra and Nagar Haveli and Daman and Diu,28,26,2,0
3632,12/06/2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2,0
3633,13/06/2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2,0
3634,14/06/2020,Dadra and Nagar Haveli and Daman and Diu,35,33,2,0
3635,15/06/2020,Dadra and Nagar Haveli and Daman and Diu,36,34,2,0
3636,16/06/2020,Dadra and Nagar Haveli and Daman and Diu,36,31,5,0
3637,17/06/2020,Dadra and Nagar Haveli and Daman and Diu,45,36,9,0
3638,18/06/2020,Dadra and Nagar Haveli and Daman and Diu,57,45,12,0
3639,19/06/2020,Dadra and Nagar Haveli and Daman and Diu,58,45,13,0
3640,20/06/2020,Dadra and Nagar Haveli and Daman and Diu,62,48,14,0
3641,21/06/2020,Dadra and Nagar Haveli and Daman and Diu,68,42,26,0
3642,22/06/2020,Dadra and Nagar Haveli and Daman and Diu,88,62,26,0
3643,23/06/2020,Dadra and Nagar Haveli and Daman and Diu,91,64,27,0
3644,24/06/2020,Dadra and Nagar Haveli and Daman and Diu,120,91,29,0
3645,25/06/2020,Dadra and Nagar Haveli and Daman and Diu,120,90,30,0
3646,26/06/2020,Dadra and Nagar Haveli and Daman and Diu,155,123,32,0
3647,27/06/2020,Dadra and Nagar Haveli and Daman and Diu,163,122,41,0
3648,28/06/2020,Dadra and Nagar Haveli and Daman and Diu,177,122,55,0
3649,29/06/2020,Dadra and Nagar Haveli and Daman and Diu,178,118,60,0
3650,30/06/2020,Dadra and Nagar Haveli and Daman and Diu,203,126,77,0
3651,01/07/2020,Dadra and Nagar Haveli and Daman and Diu,213,131,82,0
3652,02/07/2020,Dadra and Nagar Haveli and Daman and Diu,215,129,86,0
3653,03/07/2020,Dadra and Nagar Haveli and Daman and Diu,230,141,89,0
3654,04/07/2020,Dadra and Nagar Haveli and Daman and Diu,257,161,96,0
3655,05/07/2020,Dadra and Nagar Haveli and Daman and Diu,271,175,96,0
3656,06/07/2020,Dadra and Nagar Haveli and Daman and Diu,271,165,106,0
3657,07/07/2020,Dadra and Nagar Haveli and Daman and Diu,297,183,114,0
3658,08/07/2020,Dadra and Nagar Haveli and Daman and Diu,405,222,183,0
3659,09/07/2020,Dadra and Nagar Haveli and Daman and Diu,408,224,184,0
3660,10/07/2020,Dadra and Nagar Haveli and Daman and Diu,411,222,189,0
3661,11/07/2020,Dadra and Nagar Haveli and Daman and Diu,459,248,211,0
3662,12/07/2020,Dadra and Nagar Haveli and Daman and Diu,471,245,226,0
3663,13/07/2020,Dadra and Nagar Haveli and Daman and Diu,479,234,245,0
3664,14/07/2020,Dadra and Nagar Haveli and Daman and Diu,495,226,268,1
3665,15/07/2020,Dadra and Nagar Haveli and Daman and Diu,520,209,310,1
3666,16/07/2020,Dadra and Nagar Haveli and Daman and Diu,539,180,357,2
3667,17/07/2020,Dadra and Nagar Haveli and Daman and Diu,552,179,371,2
3668,18/07/2020,Dadra and Nagar Haveli and Daman and Diu,585,182,401,2
3669,19/07/2020,Dadra and Nagar Haveli and Daman and Diu,602,186,414,2
3670,20/07/2020,Dadra and Nagar Haveli and Daman and Diu,605,189,414,2
3671,21/07/2020,Dadra and Nagar Haveli and Daman and Diu,684,234,448,2
3672,22/07/2020,Dadra and Nagar Haveli and Daman and Diu,705,240,463,2
3673,23/07/2020,Dadra and Nagar Haveli and Daman and Diu,733,257,474,2
3674,24/07/2020,Dadra and Nagar Haveli and Daman and Diu,770,279,489,2
3675,25/07/2020,Dadra and Nagar Haveli and Daman and Diu,815,301,512,2
3676,26/07/2020,Dadra and Nagar Haveli and Daman and Diu,860,328,530,2
3677,27/07/2020,Dadra and Nagar Haveli and Daman and Diu,914,362,550,2
3678,28/07/2020,Dadra and Nagar Haveli and Daman and Diu,946,380,564,2
3679,29/07/2020,Dadra and Nagar Haveli and Daman and Diu,982,384,596,2
3680,30/07/2020,Dadra and Nagar Haveli and Daman and Diu,1026,376,648,2
3681,31/07/2020,Dadra and Nagar Haveli and Daman and Diu,1064,394,668,2
3682,01/08/2020,Dadra and Nagar Haveli and Daman and Diu,1100,412,686,2
3683,02/08/2020,Dadra and Nagar Haveli and Daman and Diu,1145,418,725,2
3684,03/08/2020,Dadra and Nagar Haveli and Daman and Diu,1184,416,766,2
3685,04/08/2020,Dadra and Nagar Haveli and Daman and Diu,1274,412,860,2
3686,05/08/2020,Dadra and Nagar Haveli and Daman and Diu,1325,404,919,2
3687,06/08/2020,Dadra and Nagar Haveli and Daman and Diu,1366,404,960,2
3688,07/08/2020,Dadra and Nagar Haveli and Daman and Diu,1391,416,973,2
3689,08/08/2020,Dadra and Nagar Haveli and Daman and Diu,1437,421,1014,2
3690,09/08/2020,Dadra and Nagar Haveli and Daman and Diu,1456,417,1037,2
3691,10/08/2020,Dadra and Nagar Haveli and Daman and Diu,1564,441,1121,2
3692,11/08/2020,Dadra and Nagar Haveli and Daman and Diu,1613,444,1167,2
3693,12/08/2020,Dadra and Nagar Haveli and Daman and Diu,1653,442,1209,2
3694,13/08/2020,Dadra and Nagar Haveli and Daman and Diu,1696,446,1248,2
3695,14/08/2020,Dadra and Nagar Haveli and Daman and Diu,1752,458,1292,2
3696,15/08/2020,Dadra and Nagar Haveli and Daman and Diu,1797,464,1331,2
3697,16/08/2020,Dadra and Nagar Haveli and Daman and Diu,1843,457,1384,2
3698,17/08/2020,Dadra and Nagar Haveli and Daman and Diu,1878,445,1431,2
3699,18/08/2020,Dadra and Nagar Haveli and Daman and Diu,1908,447,1459,2
3700,19/08/2020,Dadra and Nagar Haveli and Daman and Diu,1951,425,1524,2
3701,20/08/2020,Dadra and Nagar Haveli and Daman and Diu,1995,389,1604,2
3702,21/08/2020,Dadra and Nagar Haveli and Daman and Diu,2030,401,1627,2
3703,22/08/2020,Dadra and Nagar Haveli and Daman and Diu,2082,428,1652,2
3704,23/08/2020,Dadra and Nagar Haveli and Daman and Diu,2120,416,1702,2
3705,24/08/2020,Dadra and Nagar Haveli and Daman and Diu,2161,406,1753,2
3706,25/08/2020,Dadra and Nagar Haveli and Daman and Diu,2181,393,1786,2
3707,26/08/2020,Dadra and Nagar Haveli and Daman and Diu,2203,381,1820,2
3708,27/08/2020,Dadra and Nagar Haveli and Daman and Diu,2228,364,1862,2
3709,28/08/2020,Dadra and Nagar Haveli and Daman and Diu,2266,348,1916,2
3710,29/08/2020,Dadra and Nagar Haveli and Daman and Diu,2290,328,1960,2
3711,30/08/2020,Dadra and Nagar Haveli and Daman and Diu,2306,306,1998,2
3712,31/08/2020,Dadra and Nagar Haveli and Daman and Diu,2340,296,2042,2
3713,01/09/2020,Dadra and Nagar Haveli and Daman and Diu,2367,284,2081,2
3714,02/09/2020,Dadra and Nagar Haveli and Daman and Diu,2386,262,2122,2
3715,03/09/2020,Dadra and Nagar Haveli and Daman and Diu,2435,292,2141,2
3716,04/09/2020,Dadra and Nagar Haveli and Daman and Diu,2450,294,2154,2
3717,05/09/2020,Dadra and Nagar Haveli and Daman and Diu,2467,285,2180,2
3718,06/09/2020,Dadra and Nagar Haveli and Daman and Diu,2537,301,2234,2
3719,07/09/2020,Dadra and Nagar Haveli and Daman and Diu,2575,302,2271,2
3720,08/09/2020,Dadra and Nagar Haveli and Daman and Diu,2590,297,2291,2
3721,09/09/2020,Dadra and Nagar Haveli and Daman and Diu,2617,294,2321,2
3722,10/09/2020,Dadra and Nagar Haveli and Daman and Diu,2643,295,2346,2
3723,11/09/2020,Dadra and Nagar Haveli and Daman and Diu,2671,294,2375,2
3724,12/09/2020,Dadra and Nagar Haveli and Daman and Diu,2695,280,2413,2
3725,13/09/2020,Dadra and Nagar Haveli and Daman and Diu,2725,279,2444,2
3726,14/09/2020,Dadra and Nagar Haveli and Daman and Diu,2745,255,2488,2
3727,15/09/2020,Dadra and Nagar Haveli and Daman and Diu,2763,248,2513,2
3728,16/09/2020,Dadra and Nagar Haveli and Daman and Diu,2783,229,2552,2
3729,17/09/2020,Dadra and Nagar Haveli and Daman and Diu,2810,233,2575,2
3730,18/09/2020,Dadra and Nagar Haveli and Daman and Diu,2831,221,2608,2
3731,19/09/2020,Dadra and Nagar Haveli and Daman and Diu,2859,218,2639,2
3732,20/09/2020,Dadra and Nagar Haveli and Daman and Diu,2887,208,2677,2
3733,21/09/2020,Dadra and Nagar Haveli and Daman and Diu,2924,229,2693,2
3734,22/09/2020,Dadra and Nagar Haveli and Daman and Diu,2933,220,2711,2
3735,23/09/2020,Dadra and Nagar Haveli and Daman and Diu,2944,198,2744,2
3736,24/09/2020,Dadra and Nagar Haveli and Daman and Diu,2962,205,2755,2
3737,25/09/2020,Dadra and Nagar Haveli and Daman and Diu,2977,190,2785,2
3738,26/09/2020,Dadra and Nagar Haveli and Daman and Diu,2989,182,2805,2
3739,27/09/2020,Dadra and Nagar Haveli and Daman and Diu,2996,163,2831,2
3740,28/09/2020,Dadra and Nagar Haveli and Daman and Diu,3002,152,2848,2
3741,29/09/2020,Dadra and Nagar Haveli and Daman and Diu,3012,133,2877,2
3742,30/09/2020,Dadra and Nagar Haveli and Daman and Diu,3032,120,2910,2
3743,01/10/2020,Dadra and Nagar Haveli and Daman and Diu,3040,109,2929,2
3744,02/10/2020,Dadra and Nagar Haveli and Daman and Diu,3054,113,2939,2
3745,03/10/2020,Dadra and Nagar Haveli and Daman and Diu,3061,100,2959,2
3746,04/10/2020,Dadra and Nagar Haveli and Daman and Diu,3070,101,2967,2
3747,05/10/2020,Dadra and Nagar Haveli and Daman and Diu,3087,105,2980,2
3748,06/10/2020,Dadra and Nagar Haveli and Daman and Diu,3092,99,2991,2
3749,07/10/2020,Dadra and Nagar Haveli and Daman and Diu,3103,101,3000,2
3750,08/10/2020,Dadra and Nagar Haveli and Daman and Diu,3120,108,3010,2
3751,09/10/2020,Dadra and Nagar Haveli and Daman and Diu,3132,105,3025,2
3752,10/10/2020,Dadra and Nagar Haveli and Daman and Diu,3140,101,3037,2
3753,11/10/2020,Dadra and Nagar Haveli and Daman and Diu,3152,100,3050,2
3754,12/10/2020,Dadra and Nagar Haveli and Daman and Diu,3163,102,3059,2
3755,13/10/2020,Dadra and Nagar Haveli and Daman and Diu,3168,102,3064,2
3756,14/10/2020,Dadra and Nagar Haveli and Daman and Diu,3168,85,3081,2
3757,15/10/2020,Dadra and Nagar Haveli and Daman and Diu,3171,79,3090,2
3758,16/10/2020,Dadra and Nagar Haveli and Daman and Diu,3172,71,3099,2
3759,17/10/2020,Dadra and Nagar Haveli and Daman and Diu,3177,66,3109,2
3760,18/10/2020,Dadra and Nagar Haveli and Daman and Diu,3180,59,3119,2
3761,19/10/2020,Dadra and Nagar Haveli and Daman and Diu,3183,54,3127,2
3762,20/10/2020,Dadra and Nagar Haveli and Daman and Diu,3185,43,3140,2
3763,21/10/2020,Dadra and Nagar Haveli and Daman and Diu,3194,39,3153,2
3764,22/10/2020,Dadra and Nagar Haveli and Daman and Diu,3207,44,3161,2
3765,23/10/2020,Dadra and Nagar Haveli and Daman and Diu,3213,47,3164,2
3766,24/10/2020,Dadra and Nagar Haveli and Daman and Diu,3220,51,3167,2
3767,25/10/2020,Dadra and Nagar Haveli and Daman and Diu,3225,50,3173,2
3768,26/10/2020,Dadra and Nagar Haveli and Daman and Diu,3228,51,3175,2
3769,27/10/2020,Dadra and Nagar Haveli and Daman and Diu,3228,50,3176,2
3770,28/10/2020,Dadra and Nagar Haveli and Daman and Diu,3231,48,3181,2
3771,29/10/2020,Dadra and Nagar Haveli and Daman and Diu,3237,51,3184,2
3772,30/10/2020,Dadra and Nagar Haveli and Daman and Diu,3243,49,3192,2
3773,31/10/2020,Dadra and Nagar Haveli and Daman and Diu,3248,49,3197,2
3774,01/11/2020,Dadra and Nagar Haveli and Daman and Diu,3251,39,3210,2
3775,02/11/2020,Dadra and Nagar Haveli and Daman and Diu,3255,34,3219,2
3776,03/11/2020,Dadra and Nagar Haveli and Daman and Diu,3257,34,3221,2
3777,04/11/2020,Dadra and Nagar Haveli and Daman and Diu,3257,30,3225,2
3778,05/11/2020,Dadra and Nagar Haveli and Daman and Diu,3262,32,3228,2
3779,06/11/2020,Dadra and Nagar Haveli and Daman and Diu,3268,36,3230,2
3780,07/11/2020,Dadra and Nagar Haveli and Daman and Diu,3272,37,3233,2
3781,08/11/2020,Dadra and Nagar Haveli and Daman and Diu,3273,32,3239,2
3782,09/11/2020,Dadra and Nagar Haveli and Daman and Diu,3274,26,3246,2
3783,10/11/2020,Dadra and Nagar Haveli and Daman and Diu,3274,23,3249,2
3784,11/11/2020,Dadra and Nagar Haveli and Daman and Diu,3275,20,3253,2
3785,12/11/2020,Dadra and Nagar Haveli and Daman and Diu,3275,18,3255,2
3786,13/11/2020,Dadra and Nagar Haveli and Daman and Diu,3278,21,3255,2
3787,14/11/2020,Dadra and Nagar Haveli and Daman and Diu,3281,20,3259,2
3788,15/11/2020,Dadra and Nagar Haveli and Daman and Diu,3285,20,3263,2
3789,16/11/2020,Dadra and Nagar Haveli and Daman and Diu,3291,22,3267,2
3790,17/11/2020,Dadra and Nagar Haveli and Daman and Diu,3294,19,3273,2
3791,18/11/2020,Dadra and Nagar Haveli and Daman and Diu,3297,21,3274,2
3792,19/11/2020,Dadra and Nagar Haveli and Daman and Diu,3305,29,3274,2
3793,20/11/2020,Dadra and Nagar Haveli and Daman and Diu,3307,31,3274,2
3794,21/11/2020,Dadra and Nagar Haveli and Daman and Diu,3316,39,3275,2
3795,22/11/2020,Dadra and Nagar Haveli and Daman and Diu,3317,39,3276,2
3796,23/11/2020,Dadra and Nagar Haveli and Daman and Diu,3321,39,3280,2
3797,24/11/2020,Dadra and Nagar Haveli and Daman and Diu,3325,40,3283,2
3798,25/11/2020,Dadra and Nagar Haveli and Daman and Diu,3325,37,3286,2
3799,26/11/2020,Dadra and Nagar Haveli and Daman and Diu,3327,35,3290,2
3800,27/11/2020,Dadra and Nagar Haveli and Daman and Diu,3328,33,3293,2
3801,28/11/2020,Dadra and Nagar Haveli and Daman and Diu,3330,27,3301,2
3802,29/11/2020,Dadra and Nagar Haveli and Daman and Diu,3330,23,3305,2
3803,30/11/2020,Dadra and Nagar Haveli and Daman and Diu,3332,22,3308,2
3804,01/12/2020,Dadra and Nagar Haveli and Daman and Diu,3332,16,3314,2
3805,02/12/2020,Dadra and Nagar Haveli and Daman and Diu,3334,15,3317,2
3806,03/12/2020,Dadra and Nagar Haveli and Daman and Diu,3340,16,3322,2
3807,04/12/2020,Dadra and Nagar Haveli and Daman and Diu,3340,14,3324,2
3808,05/12/2020,Dadra and Nagar Haveli and Daman and Diu,3340,12,3326,2
3809,06/12/2020,Dadra and Nagar Haveli and Daman and Diu,3341,13,3326,2
3810,07/12/2020,Dadra and Nagar Haveli and Daman and Diu,3342,14,3326,2
3811,08/12/2020,Dadra and Nagar Haveli and Daman and Diu,3346,16,3328,2
3812,09/12/2020,Dadra and Nagar Haveli and Daman and Diu,3351,19,3330,2
3813,10/12/2020,Dadra and Nagar Haveli and Daman and Diu,3354,21,3331,2
3814,11/12/2020,Dadra and Nagar Haveli and Daman and Diu,3354,20,3332,2
3815,12/12/2020,Dadra and Nagar Haveli and Daman and Diu,3355,18,3335,2
3816,13/12/2020,Dadra and Nagar Haveli and Daman and Diu,3356,17,3337,2
3817,14/12/2020,Dadra and Nagar Haveli and Daman and Diu,3356,17,3337,2
3818,15/12/2020,Dadra and Nagar Haveli and Daman and Diu,3359,19,3338,2
3819,17/12/2020,Dadra and Nagar Haveli and Daman and Diu,3360,16,3342,2
3820,18/12/2020,Dadra and Nagar Haveli and Daman and Diu,3361,15,3344,2
3821,19/12/2020,Dadra and Nagar Haveli and Daman and Diu,3362,10,3350,2
3822,20/12/2020,Dadra and Nagar Haveli and Daman and Diu,3363,9,3352,2
3823,21/12/2020,Dadra and Nagar Haveli and Daman and Diu,3363,9,3352,2
3824,22/12/2020,Dadra and Nagar Haveli and Daman and Diu,3363,7,3354,2
3825,23/12/2020,Dadra and Nagar Haveli and Daman and Diu,3364,5,3357,2
3826,24/12/2020,Dadra and Nagar Haveli and Daman and Diu,3365,6,3357,2
3827,25/12/2020,Dadra and Nagar Haveli and Daman and Diu,3367,8,3357,2
3828,26/12/2020,Dadra and Nagar Haveli and Daman and Diu,3370,11,3357,2
3829,27/12/2020,Dadra and Nagar Haveli and Daman and Diu,3372,8,3362,2
3830,28/12/2020,Dadra and Nagar Haveli and Daman and Diu,3373,9,3362,2
3831,29/12/2020,Dadra and Nagar Haveli and Daman and Diu,3374,9,3363,2
3832,30/12/2020,Dadra and Nagar Haveli and Daman and Diu,3375,9,3364,2
3833,31/12/2020,Dadra and Nagar Haveli and Daman and Diu,3375,9,3364,2
3834,03/01/2021,Dadra and Nagar Haveli and Daman and Diu,3378,11,3365,2
3835,04/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,9,3368,2
3836,05/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,8,3369,2
3837,06/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,7,3370,2
3838,07/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,5,3372,2
3839,08/01/2021,Dadra and Nagar Haveli and Daman and Diu,3379,5,3372,2
3840,09/01/2021,Dadra and Nagar Haveli and Daman and Diu,3380,5,3373,2
3841,10/01/2021,Dadra and Nagar Haveli and Daman and Diu,3380,4,3374,2
3842,11/01/2021,Dadra and Nagar Haveli and Daman and Diu,3380,2,3376,2
3843,12/01/2021,Dadra and Nagar Haveli and Daman and Diu,3382,4,3376,2
3844,13/01/2021,Dadra and Nagar Haveli and Daman and Diu,3382,4,3376,2
3845,14/01/2021,Dadra and Nagar Haveli and Daman and Diu,3383,4,3377,2
3846,15/01/2021,Dadra and Nagar Haveli and Daman and Diu,3385,6,3377,2
3847,16/01/2021,Dadra and Nagar Haveli and Daman and Diu,3388,9,3377,2
3848,17/01/2021,Dadra and Nagar Haveli and Daman and Diu,3388,9,3377,2
3849,18/01/2021,Dadra and Nagar Haveli and Daman and Diu,3390,11,3377,2
3850,19/01/2021,Dadra and Nagar Haveli and Daman and Diu,3390,11,3377,2
3851,20/01/2021,Dadra and Nagar Haveli and Daman and Diu,3391,9,3380,2
3852,21/01/2021,Dadra and Nagar Haveli and Daman and Diu,3393,11,3380,2
3853,22/01/2021,Dadra and Nagar Haveli and Daman and Diu,3393,10,3381,2
3854,23/01/2021,Dadra and Nagar Haveli and Daman and Diu,3394,10,3382,2
3855,24/01/2021,Dadra and Nagar Haveli and Daman and Diu,3394,10,3382,2
3856,25/01/2021,Dadra and Nagar Haveli and Daman and Diu,3394,6,3386,2
3857,27/01/2021,Dadra and Nagar Haveli and Daman and Diu,3395,5,3388,2
3858,28/01/2021,Dadra and Nagar Haveli and Daman and Diu,3396,6,3388,2
3859,29/01/2021,Dadra and Nagar Haveli and Daman and Diu,3397,7,3388,2
3860,30/01/2021,Dadra and Nagar Haveli and Daman and Diu,3398,8,3388,2
3861,31/01/2021,Dadra and Nagar Haveli and Daman and Diu,3398,6,3390,2
3862,01/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,6,3390,2
3863,02/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,5,3391,2
3864,03/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,4,3392,2
3865,04/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,4,3392,2
3866,05/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,4,3392,2
3867,06/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,2,3394,2
3868,07/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,1,3395,2
3869,08/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,1,3395,2
3870,09/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3871,10/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3872,11/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3873,12/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3874,13/02/2021,Dadra and Nagar Haveli and Daman and Diu,3398,0,3396,2
3875,14/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
3876,15/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
3877,16/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
3878,17/02/2021,Dadra and Nagar Haveli and Daman and Diu,3400,2,3396,2
3879,18/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3880,19/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3881,20/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3882,21/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3883,22/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3884,23/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,4,3396,2
3885,24/02/2021,Dadra and Nagar Haveli and Daman and Diu,3402,2,3398,2
3886,25/02/2021,Dadra and Nagar Haveli and Daman and Diu,3404,4,3398,2
3887,26/02/2021,Dadra and Nagar Haveli and Daman and Diu,3405,5,3398,2
3888,27/02/2021,Dadra and Nagar Haveli and Daman and Diu,3406,4,3400,2
3889,01/03/2021,Dadra and Nagar Haveli and Daman and Diu,3406,4,3400,2
3890,02/03/2021,Dadra and Nagar Haveli and Daman and Diu,3406,4,3400,2
3891,03/03/2021,Dadra and Nagar Haveli and Daman and Diu,3408,6,3400,2
3892,04/03/2021,Dadra and Nagar Haveli and Daman and Diu,3408,6,3400,2
3893,06/03/2021,Dadra and Nagar Haveli and Daman and Diu,3408,6,3400,2
3894,07/03/2021,Dadra and Nagar Haveli and Daman and Diu,3409,5,3402,2
3895,08/03/2021,Dadra and Nagar Haveli and Daman and Diu,3416,12,3402,2
